Class,Role Stereotype,Design Smell,Cause of the Smell
com.eteks.sweethome3d.io.DefaultHomeOutputStream$HomeContentObjectsTracker,Service Provider,Missing Hierarchy,The tool detected the smell because a set of type checks are performed to explicitly manage variation in behavior where a hierarchy could have been formed consisting of these participating types. The participating types that were checked are: TemporaryURLContent; HomeURLContent; Content; URLContent; ResourceURLContent; SimpleURLContent in method replaceObject
com.eteks.sweethome3d.io.DefaultPatternTexture,Information Holder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.io.DefaultTexturesCatalog,Structurer,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: keyPrefix; PLUGIN_TEXTURES_CATALOG_FAMILY; ADDITIONAL_TEXTURES_CATALOG_FAMILY; libraries; pluginTexturesCatalogUrlUpdates
com.eteks.sweethome3d.io.DefaultTexturesCatalog,Structurer,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): TexturesCatalog
com.eteks.sweethome3d.io.DefaultTexturesCatalog$PropertyKey,Information Holder,Unnecessary Abstraction,"The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: keyPrefix"
com.eteks.sweethome3d.io.DefaultTexturesCatalog$PropertyKey,Information Holder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.io.FileUserPreferences,Structurer,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: LANGUAGE; UNIT; EXTENSIBLE_UNIT; FURNITURE_CATALOG_VIEWED_IN_TREE; NAVIGATION_PANEL_VISIBLE; AERIAL_VIEW_CENTERED_ON_SELECTION_ENABLED; OBSERVER_CAMERA_SELECTED_AT_CHANGE; MAGNETISM_ENABLED; RULERS_VISIBLE; GRID_VISIBLE; DEFAULT_FONT_NAME; FURNITURE_VIEWED_FROM_TOP; FURNITURE_MODEL_ICON_SIZE; ROOM_FLOOR_COLORED_OR_TEXTURED; WALL_PATTERN; NEW_WALL_PATTERN; NEW_WALL_THICKNESS; NEW_WALL_HEIGHT; NEW_WALL_BASEBOARD_THICKNESS; NEW_WALL_BASEBOARD_HEIGHT; NEW_FLOOR_THICKNESS; CHECK_UPDATES_ENABLED; UPDATES_MINIMUM_DATE; AUTO_SAVE_DELAY_FOR_RECOVERY; AUTO_COMPLETION_PROPERTY; AUTO_COMPLETION_STRINGS; RECENT_COLORS; RECENT_TEXTURE_NAME; RECENT_TEXTURE_CREATOR; RECENT_TEXTURE_IMAGE; RECENT_TEXTURE_WIDTH; RECENT_TEXTURE_HEIGHT; RECENT_HOMES; IGNORED_ACTION_TIP; FURNITURE_NAME; FURNITURE_CREATOR; FURNITURE_CATEGORY; FURNITURE_ICON; FURNITURE_MODEL; FURNITURE_WIDTH; FURNITURE_DEPTH; FURNITURE_HEIGHT; FURNITURE_MOVABLE; FURNITURE_DOOR_OR_WINDOW; FURNITURE_ELEVATION; FURNITURE_COLOR; FURNITURE_MODEL_SIZE; FURNITURE_MODEL_ROTATION; FURNITURE_STAIRCASE_CUT_OUT_SHAPE; FURNITURE_BACK_FACE_SHOWN; FURNITURE_ICON_YAW; FURNITURE_PROPORTIONAL; TEXTURE_NAME; TEXTURE_CREATOR; TEXTURE_CATEGORY; TEXTURE_IMAGE; TEXTURE_WIDTH; TEXTURE_HEIGHT; FURNITURE_CONTENT_PREFIX; TEXTURE_CONTENT_PREFIX; LANGUAGE_LIBRARIES_PLUGIN_SUB_FOLDER; FURNITURE_LIBRARIES_PLUGIN_SUB_FOLDER; TEXTURES_LIBRARIES_PLUGIN_SUB_FOLDER; MISSING_CONTENT; ignoredActionTips; resourceClassLoaders; preferencesFolder; applicationFolders; preferences; catalogsLoader; updater; libraries; copiedContentsCache; PLUGIN_LANGUAGE_LIBRARY_FAMILY; PREFERENCES_FILE; preferencesProperties; exist
com.eteks.sweethome3d.io.FileUserPreferences,Structurer,Unexploited Encapsulation,The tool detected the smell because a set of type checks are performed while those types belong to the same hierarchy. The participating types that were checked are: PreferencesURLContent; TemporaryURLContent in method putContent
com.eteks.sweethome3d.io.FileUserPreferences,Structurer,Missing Hierarchy,The tool detected the smell because a set of type checks are performed to explicitly manage variation in behavior where a hierarchy could have been formed consisting of these participating types. The participating types that were checked are: PreferencesURLContent; TemporaryURLContent in method putContent
com.eteks.sweethome3d.io.FileUserPreferences,Structurer,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 32 public methods
com.eteks.sweethome3d.io.FileUserPreferences$PreferencesURLContent,Service Provider,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): URLContent
