Class,Role Stereotype,Design Smell,Cause of the Smell
com.eteks.sweethome3d.swing.ImportedFurnitureWizardStepsPanel,Interfacer,Feature Envy,The tool detected a instance of this smell because updateController is more interested in members of the type: ImportedFurnitureWizardController
com.eteks.sweethome3d.swing.ImportedFurnitureWizardStepsPanel,Interfacer,Feature Envy,The tool detected a instance of this smell because modelUpdated is more interested in members of the type: ImportedFurnitureWizardController
com.eteks.sweethome3d.swing.ImportedFurnitureWizardStepsPanel,Interfacer,Feature Envy,The tool detected a instance of this smell because setDefaultStateAndInitializeReadModel is more interested in members of the type: ImportedFurnitureWizardController
com.eteks.sweethome3d.swing.ImportedFurnitureWizardStepsPanel,Interfacer,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 70 public methods
com.eteks.sweethome3d.swing.ImportedFurnitureWizardStepsPanel$AbstractModelPreviewComponent,Coordinator,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): ModelPreviewComponent
com.eteks.sweethome3d.swing.ImportedFurnitureWizardStepsPanel$AttributesPreviewComponent,Coordinator,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractModelPreviewComponent
com.eteks.sweethome3d.swing.ImportedFurnitureWizardStepsPanel$IconPreviewComponent,Interfacer,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractModelPreviewComponent
com.eteks.sweethome3d.swing.ImportedTextureWizardStepsPanel,Interfacer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.swing.ImportedTextureWizardStepsPanel,Interfacer,Feature Envy,The tool detected a instance of this smell because run is more interested in members of the type: ImportedTextureWizardController
com.eteks.sweethome3d.swing.ImportedTextureWizardStepsPanel,Interfacer,Feature Envy,The tool detected a instance of this smell because run is more interested in members of the type: ImportedTextureWizardController
com.eteks.sweethome3d.swing.ImportedTextureWizardStepsPanel,Interfacer,Feature Envy,The tool detected a instance of this smell because run is more interested in members of the type: ImportedTextureWizardController
com.eteks.sweethome3d.swing.ImportedTextureWizardStepsPanel,Interfacer,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): View
com.eteks.sweethome3d.swing.ImportedTextureWizardStepsPanel,Interfacer,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 38 public methods
com.eteks.sweethome3d.swing.InterruptedPrinterException,Service Provider,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.swing.JPEGImagesToVideo,Service Provider,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.swing.LabelPanel,Interfacer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.swing.LabelPanel,Interfacer,Feature Envy,The tool detected a instance of this smell because changedUpdate is more interested in members of the type: LabelController
com.eteks.sweethome3d.swing.LabelPanel,Interfacer,Feature Envy,The tool detected a instance of this smell because stateChanged is more interested in members of the type: LabelController
com.eteks.sweethome3d.swing.LabelPanel,Interfacer,Feature Envy,The tool detected a instance of this smell because stateChanged is more interested in members of the type: LabelController
com.eteks.sweethome3d.swing.LevelPanel,Interfacer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.swing.LevelPanel,Interfacer,Feature Envy,The tool detected a instance of this smell because changedUpdate is more interested in members of the type: LevelController
com.eteks.sweethome3d.swing.LevelPanel,Interfacer,Feature Envy,The tool detected a instance of this smell because stateChanged is more interested in members of the type: LevelController
com.eteks.sweethome3d.swing.LevelPanel,Interfacer,Feature Envy,The tool detected a instance of this smell because stateChanged is more interested in members of the type: LevelController
com.eteks.sweethome3d.swing.LevelPanel,Interfacer,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 28 public methods
com.eteks.sweethome3d.swing.LevelPanel$LevelsTableModel,Structurer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.swing.ModelMaterialsComponent,Interfacer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.swing.ModelMaterialsComponent,Interfacer,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): View
com.eteks.sweethome3d.swing.ModelMaterialsComponent$ModelMaterialsPanel,Interfacer,Feature Envy,The tool detected a instance of this smell because modelUpdated is more interested in members of the type: ModelMaterialsController
com.eteks.sweethome3d.swing.ModelMaterialsComponent$ModelMaterialsPanel,Interfacer,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 21 public methods
com.eteks.sweethome3d.swing.ModelMaterialsComponent$ModelMaterialsPanel$MaterialListCellRenderer,#N/A,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.swing.ModelPreviewComponent,Interfacer,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 38 public methods
com.eteks.sweethome3d.swing.ModelPreviewComponent$JCanvas3DWithNotifiedPaint,Service Provider,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.swing.MultipleLevelsPlanPanel,Interfacer,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 56 public methods
com.eteks.sweethome3d.swing.MultipleLevelsPlanPanel$LanguageChangeListener,Service Provider,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.swing.MultipleLevelsPlanPanel$LevelLabel,Information Holder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.swing.NullableCheckBox,Interfacer,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: TEXT_CHANGED_PROPERTY; MNEMONIC_CHANGED_PROPERTY; checkBox; value; nullable; changeListeners
com.eteks.sweethome3d.swing.NullableSpinner$NullableSpinnerDateModel,Information Holder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.swing.NullableSpinner$NullableSpinnerLengthModel,Information Holder,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): NullableSpinnerNumberModel
com.eteks.sweethome3d.swing.ObserverCameraPanel,Interfacer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.swing.PageSetupPanel,Interfacer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.swing.PhotoPanel,Interfacer,Feature Envy,The tool detected a instance of this smell because stateChanged is more interested in members of the type: PhotoController
com.eteks.sweethome3d.swing.PhotoPanel,Interfacer,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 28 public methods
com.eteks.sweethome3d.swing.PhotoPanel$ActionType,Information Holder,Unnecessary Abstraction,"The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: "
com.eteks.sweethome3d.swing.PhotoPanel$ActionType,Information Holder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.swing.PhotoPanel$LanguageChangeListener,Service Provider,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.swing.PhotoSizeAndQualityPanel,Interfacer,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 20 public methods
com.eteks.sweethome3d.swing.PhotoSizeAndQualityPanel$LanguageChangeListener,Service Provider,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.swing.PhotosPanel,Interfacer,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 24 public methods
com.eteks.sweethome3d.swing.PhotosPanel$ActionType,Information Holder,Unnecessary Abstraction,"The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: "
com.eteks.sweethome3d.swing.PhotosPanel$ActionType,Information Holder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.swing.PhotosPanel$LanguageChangeListener,Service Provider,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.swing.PhotosPanel$CamerasListModel,Structurer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.swing.PlanComponent,Controller,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ROTATE; RESIZE; ELEVATE; RESIZE_HEIGHT; CHANGE_POWER; MOVE_TEXT; ROTATE_TEXT; ROTATE_PITCH; ROTATE_ROLL; name; MARGIN; home; preferences; object3dFactory; scale; selectedItemsOutlinePainted; backgroundPainted; horizontalRuler; verticalRuler; rotationCursor; elevationCursor; heightCursor; powerCursor; resizeCursor; moveCursor; panningCursor; duplicationCursor; rectangleFeedback; alignedObjectClass; alignedObjectFeedback; locationFeeback; showPointFeedback; centerAngleFeedback; point1AngleFeedback; point2AngleFeedback; draggedItemsFeedback; dimensionLinesFeedback; selectionScrollUpdated; wallsDoorsOrWindowsModification; toolTip; toolTipWindow; resizeIndicatorVisible; toolTipEditableTextFields; toolTipKeyListener; sortedLevelFurniture; sortedLevelRooms; fonts; fontsMetrics; planBoundsCache; planBoundsCacheValid; invalidPlanBounds; backgroundImageCache; patternImagesCache; otherLevelsWallsCache; otherLevelsWallAreaCache; otherLevelsRoomsCache; otherLevelsRoomAreaCache; wallsPatternBackgroundCache; wallsPatternForegroundCache; wallAreasCache; doorOrWindowWallThicknessAreasCache; floorTextureImagesCache; furnitureTopViewIconsCache; backgroundImageLoader; POINT_INDICATOR; FURNITURE_ROTATION_INDICATOR; FURNITURE_PITCH_ROTATION_INDICATOR; FURNITURE_ROLL_ROTATION_INDICATOR; FURNITURE_RESIZE_INDICATOR; ELEVATION_INDICATOR; ELEVATION_POINT_INDICATOR; FURNITURE_HEIGHT_INDICATOR; FURNITURE_HEIGHT_POINT_INDICATOR; LIGHT_POWER_INDICATOR; LIGHT_POWER_POINT_INDICATOR; WALL_ORIENTATION_INDICATOR; WALL_POINT; WALL_AND_LINE_RESIZE_INDICATOR; CAMERA_YAW_ROTATION_INDICATOR; CAMERA_PITCH_ROTATION_INDICATOR; CAMERA_ELEVATION_INDICATOR; CAMERA_BODY; CAMERA_HEAD; DIMENSION_LINE_END; TEXT_LOCATION_INDICATOR; TEXT_ANGLE_INDICATOR; LABEL_CENTER_INDICATOR; COMPASS_DISC; COMPASS; COMPASS_ROTATION_INDICATOR; COMPASS_RESIZE_INDICATOR; ARROW; INDICATOR_STROKE; POINT_STROKE; WALL_STROKE_WIDTH; BORDER_STROKE_WIDTH; ERROR_TEXTURE_IMAGE; WAIT_TEXTURE_IMAGE; planComponent; lastMousePressedLocation; dx; dy; toggle; alignmentActivated; duplicationActivated; editionActivated; focusedTextFieldIndex; focusedTextField; orientation; mouseLocation; icon; pieceWidth; pieceDepth; pieceColor; pieceTexture; sceneRoot; iconsCreationExecutor
com.eteks.sweethome3d.swing.PlanComponent,Controller,Unexploited Encapsulation,The tool detected the smell because a set of type checks are performed while those types belong to the same hierarchy. The participating types that were checked are: Wall; HomePieceOfFurniture in method addControllerListener
com.eteks.sweethome3d.swing.PlanComponent,Controller,Missing Hierarchy,The tool detected the smell because a set of type checks are performed to explicitly manage variation in behavior where a hierarchy could have been formed consisting of these participating types. The participating types that were checked are: Wall; HomePieceOfFurniture in method addControllerListener
com.eteks.sweethome3d.swing.PlanComponent,Controller,Rebellious Hierarchy,The tool detected the smell in this class because method(s) of this class reject the methods provided by its supertypes. The method(s) that reject the suptertype's method are: setCursor
com.eteks.sweethome3d.swing.PlanComponent,Controller,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: PlanComponent; SVGSupport; PieceOfFurniturePlanIcon
com.eteks.sweethome3d.swing.PlanComponent,Controller,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 96 public methods
com.eteks.sweethome3d.swing.PlanComponent$PaintMode,Information Holder,Unnecessary Abstraction,"The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: "
com.eteks.sweethome3d.swing.PlanComponent$ActionType,Information Holder,Unnecessary Abstraction,"The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: "
com.eteks.sweethome3d.swing.PlanComponent$ActionType,Information Holder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.swing.PlanComponent$IndicatorType,Information Holder,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ROTATE; RESIZE; ELEVATE; RESIZE_HEIGHT; CHANGE_POWER; MOVE_TEXT; ROTATE_TEXT; ROTATE_PITCH; ROTATE_ROLL; name
com.eteks.sweethome3d.swing.PlanComponent$UserPreferencesChangeListener,Service Provider,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.swing.PlanComponent$MoveSelectionAction,#N/A,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.swing.PlanComponent$ToggleMagnetismAction,#N/A,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.swing.PlanComponent$SetAlignmentActivatedAction,#N/A,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.swing.PlanComponent$SetDuplicationActivatedAction,#N/A,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.swing.PlanComponent$SetEditionActivatedAction,#N/A,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.swing.PlanComponent$PlanRulerComponent,Interfacer,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): View
com.eteks.sweethome3d.swing.PlanComponent$PieceOfFurnitureModelIcon,Information Holder,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): PieceOfFurnitureTopViewIcon
com.eteks.sweethome3d.swing.PlanTransferHandler,Service Provider,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): LocatedTransferHandler
com.eteks.sweethome3d.swing.PolylinePanel,Interfacer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.swing.PolylinePanel,Interfacer,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 24 public methods
com.eteks.sweethome3d.swing.PrintPreviewPanel,Interfacer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.swing.PrintPreviewPanel$ActionType,Information Holder,Unnecessary Abstraction,"The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: "
com.eteks.sweethome3d.swing.PrintPreviewPanel$ActionType,Information Holder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.swing.PrintPreviewPanel$HigherInsetsButton,#N/A,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.swing.ProportionalLayout$Constraints,Information Holder,Unnecessary Abstraction,"The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: "
com.eteks.sweethome3d.swing.ResourceAction,Service Provider,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: POPUP; TOGGLE_BUTTON_MODEL; resourceAction; resourceClass; actionPrefix; action; propertyChangeSupport
com.eteks.sweethome3d.swing.ResourceAction$LanguageChangeListener,Service Provider,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.swing.ResourceAction$PopupMenuItemAction,Service Provider,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.swing.ResourceAction$ButtonAction,Service Provider,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.swing.RoomPanel,Interfacer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.swing.RoomPanel,Interfacer,Feature Envy,The tool detected a instance of this smell because changedUpdate is more interested in members of the type: RoomController
com.eteks.sweethome3d.swing.RoomPanel,Interfacer,Feature Envy,The tool detected a instance of this smell because propertyChange is more interested in members of the type: NullableCheckBox
com.eteks.sweethome3d.swing.RoomPanel,Interfacer,Feature Envy,The tool detected a instance of this smell because stateChanged is more interested in members of the type: RoomController
com.eteks.sweethome3d.swing.RoomPanel,Interfacer,Feature Envy,The tool detected a instance of this smell because propertyChange is more interested in members of the type: NullableCheckBox
com.eteks.sweethome3d.swing.RoomPanel,Interfacer,Feature Envy,The tool detected a instance of this smell because stateChanged is more interested in members of the type: RoomController
com.eteks.sweethome3d.swing.RoomPanel,Interfacer,Feature Envy,The tool detected a instance of this smell because propertyChange is more interested in members of the type: NullableCheckBox
com.eteks.sweethome3d.swing.RoomPanel,Interfacer,Feature Envy,The tool detected a instance of this smell because stateChanged is more interested in members of the type: RoomController
com.eteks.sweethome3d.swing.RoomPanel,Interfacer,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 40 public methods
com.eteks.sweethome3d.swing.SwingTools,Service Provider,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 39 public methods
com.eteks.sweethome3d.swing.SwingTools$MenuItemsVisibilityListener,Service Provider,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.swing.SwingViewFactory,Service Provider,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 29 public methods
com.eteks.sweethome3d.swing.TextureChoiceComponent,Interfacer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.swing.TextureChoiceComponent$TexturePanel,Interfacer,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 26 public methods
com.eteks.sweethome3d.swing.TextureChoiceComponent$TexturePanel$TextureListCellRenderer,#N/A,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.swing.TextureChoiceComponent$TexturePanel$TexturesCatalogListener,#N/A,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.swing.TextureChoiceComponent$TexturePanel$TexturesCatalogListener,#N/A,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.swing.ThreadedTaskPanel,Interfacer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.swing.UserPreferencesPanel,Interfacer,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 55 public methods
com.eteks.sweethome3d.swing.UserPreferencesPanel$SupportedLanguagesChangeListener,Service Provider,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.swing.UserPreferencesPanel$AutoCommitLengthSpinner,Interfacer,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AutoCommitSpinner
com.eteks.sweethome3d.swing.VideoPanel,Interfacer,Feature Envy,The tool detected a instance of this smell because stateChanged is more interested in members of the type: VideoController
com.eteks.sweethome3d.swing.VideoPanel,Interfacer,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 44 public methods
com.eteks.sweethome3d.swing.VideoPanel$ActionType,Information Holder,Unnecessary Abstraction,"The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: "
com.eteks.sweethome3d.swing.VideoPanel$ActionType,Information Holder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.swing.VideoPanel$LanguageChangeListener,Service Provider,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.swing.VisualTransferHandler$DragListenerWithVisualRepresentation,Service Provider,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.swing.WallPanel,Interfacer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.swing.WallPanel,Interfacer,Feature Envy,The tool detected a instance of this smell because stateChanged is more interested in members of the type: WallController
com.eteks.sweethome3d.swing.WallPanel,Interfacer,Feature Envy,The tool detected a instance of this smell because stateChanged is more interested in members of the type: WallController
com.eteks.sweethome3d.swing.WallPanel,Interfacer,Feature Envy,The tool detected a instance of this smell because stateChanged is more interested in members of the type: WallController
com.eteks.sweethome3d.swing.WallPanel,Interfacer,Feature Envy,The tool detected a instance of this smell because stateChanged is more interested in members of the type: WallController
com.eteks.sweethome3d.swing.WallPanel,Interfacer,Feature Envy,The tool detected a instance of this smell because stateChanged is more interested in members of the type: WallController
com.eteks.sweethome3d.swing.WallPanel,Interfacer,Feature Envy,The tool detected a instance of this smell because stateChanged is more interested in members of the type: WallController
com.eteks.sweethome3d.swing.WallPanel,Interfacer,Feature Envy,The tool detected a instance of this smell because stateChanged is more interested in members of the type: WallController
com.eteks.sweethome3d.swing.WallPanel,Interfacer,Feature Envy,The tool detected a instance of this smell because stateChanged is more interested in members of the type: WallController
com.eteks.sweethome3d.swing.WallPanel,Interfacer,Feature Envy,The tool detected a instance of this smell because stateChanged is more interested in members of the type: WallController
com.eteks.sweethome3d.swing.WallPanel,Interfacer,Feature Envy,The tool detected a instance of this smell because stateChanged is more interested in members of the type: WallController
com.eteks.sweethome3d.swing.WallPanel,Interfacer,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 55 public methods
com.eteks.sweethome3d.swing.WizardPane,Interfacer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.tools.ResourceURLContent,Service Provider,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): URLContent
com.eteks.sweethome3d.tools.TemporaryURLContent,Service Provider,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): URLContent
com.eteks.sweethome3d.viewcontroller.AbstractPhotoController,Controller,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Controller
com.eteks.sweethome3d.viewcontroller.AbstractPhotoController,Controller,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: EnvironmentChangeListener; AbstractPhotoController
com.eteks.sweethome3d.viewcontroller.AbstractPhotoController,Controller,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 20 public methods
com.eteks.sweethome3d.viewcontroller.AbstractPhotoController$Property,Information Holder,Unnecessary Abstraction,"The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: "
com.eteks.sweethome3d.viewcontroller.BackgroundImageWizardController,Controller,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): WizardController; Controller
com.eteks.sweethome3d.viewcontroller.BackgroundImageWizardController,Controller,Multipath Hierarchy,The tool detected the smell in this class because the class inherits another class directly as well as indirectly. The redundant inherited supertype is: Controller
