Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
sweethome3d-5.6,com.eteks.sweethome3d.io,DefaultHomeOutputStream,Missing Hierarchy,The tool detected the smell because a set of type checks are performed to explicitly manage variation in behavior where a hierarchy could have been formed consisting of these participating types. The participating types that were checked are: ResourceURLContent; URLContent; SimpleURLContent; HomeURLContent in method writeHome
sweethome3d-5.6,com.eteks.sweethome3d.io,DefaultHomeOutputStream,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: DefaultHomeOutputStream; HomeContentObjectsTracker; HomeObjectOutputStream
sweethome3d-5.6,com.eteks.sweethome3d.io,HomeContentObjectsTracker,Unexploited Encapsulation,The tool detected the smell because a set of type checks are performed while those types belong to the same hierarchy. The participating types that were checked are: TemporaryURLContent; HomeURLContent; Content; URLContent; ResourceURLContent; SimpleURLContent in method replaceObject
sweethome3d-5.6,com.eteks.sweethome3d.io,HomeContentObjectsTracker,Missing Hierarchy,The tool detected the smell because a set of type checks are performed to explicitly manage variation in behavior where a hierarchy could have been formed consisting of these participating types. The participating types that were checked are: TemporaryURLContent; HomeURLContent; Content; URLContent; ResourceURLContent; SimpleURLContent in method replaceObject
sweethome3d-5.6,com.eteks.sweethome3d.io,DefaultPatternTexture,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sweethome3d-5.6,com.eteks.sweethome3d.io,DefaultTexturesCatalog,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: keyPrefix; PLUGIN_TEXTURES_CATALOG_FAMILY; ADDITIONAL_TEXTURES_CATALOG_FAMILY; libraries; pluginTexturesCatalogUrlUpdates
sweethome3d-5.6,com.eteks.sweethome3d.io,DefaultTexturesCatalog,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): TexturesCatalog
sweethome3d-5.6,com.eteks.sweethome3d.io,PropertyKey,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: keyPrefix
sweethome3d-5.6,com.eteks.sweethome3d.io,PropertyKey,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sweethome3d-5.6,com.eteks.sweethome3d.io,FileUserPreferences,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: LANGUAGE; UNIT; EXTENSIBLE_UNIT; FURNITURE_CATALOG_VIEWED_IN_TREE; NAVIGATION_PANEL_VISIBLE; AERIAL_VIEW_CENTERED_ON_SELECTION_ENABLED; OBSERVER_CAMERA_SELECTED_AT_CHANGE; MAGNETISM_ENABLED; RULERS_VISIBLE; GRID_VISIBLE; DEFAULT_FONT_NAME; FURNITURE_VIEWED_FROM_TOP; FURNITURE_MODEL_ICON_SIZE; ROOM_FLOOR_COLORED_OR_TEXTURED; WALL_PATTERN; NEW_WALL_PATTERN; NEW_WALL_THICKNESS; NEW_WALL_HEIGHT; NEW_WALL_BASEBOARD_THICKNESS; NEW_WALL_BASEBOARD_HEIGHT; NEW_FLOOR_THICKNESS; CHECK_UPDATES_ENABLED; UPDATES_MINIMUM_DATE; AUTO_SAVE_DELAY_FOR_RECOVERY; AUTO_COMPLETION_PROPERTY; AUTO_COMPLETION_STRINGS; RECENT_COLORS; RECENT_TEXTURE_NAME; RECENT_TEXTURE_CREATOR; RECENT_TEXTURE_IMAGE; RECENT_TEXTURE_WIDTH; RECENT_TEXTURE_HEIGHT; RECENT_HOMES; IGNORED_ACTION_TIP; FURNITURE_NAME; FURNITURE_CREATOR; FURNITURE_CATEGORY; FURNITURE_ICON; FURNITURE_MODEL; FURNITURE_WIDTH; FURNITURE_DEPTH; FURNITURE_HEIGHT; FURNITURE_MOVABLE; FURNITURE_DOOR_OR_WINDOW; FURNITURE_ELEVATION; FURNITURE_COLOR; FURNITURE_MODEL_SIZE; FURNITURE_MODEL_ROTATION; FURNITURE_STAIRCASE_CUT_OUT_SHAPE; FURNITURE_BACK_FACE_SHOWN; FURNITURE_ICON_YAW; FURNITURE_PROPORTIONAL; TEXTURE_NAME; TEXTURE_CREATOR; TEXTURE_CATEGORY; TEXTURE_IMAGE; TEXTURE_WIDTH; TEXTURE_HEIGHT; FURNITURE_CONTENT_PREFIX; TEXTURE_CONTENT_PREFIX; LANGUAGE_LIBRARIES_PLUGIN_SUB_FOLDER; FURNITURE_LIBRARIES_PLUGIN_SUB_FOLDER; TEXTURES_LIBRARIES_PLUGIN_SUB_FOLDER; MISSING_CONTENT; ignoredActionTips; resourceClassLoaders; preferencesFolder; applicationFolders; preferences; catalogsLoader; updater; libraries; copiedContentsCache; PLUGIN_LANGUAGE_LIBRARY_FAMILY; PREFERENCES_FILE; preferencesProperties; exist
sweethome3d-5.6,com.eteks.sweethome3d.io,FileUserPreferences,Unexploited Encapsulation,The tool detected the smell because a set of type checks are performed while those types belong to the same hierarchy. The participating types that were checked are: PreferencesURLContent; TemporaryURLContent in method putContent
sweethome3d-5.6,com.eteks.sweethome3d.io,FileUserPreferences,Missing Hierarchy,The tool detected the smell because a set of type checks are performed to explicitly manage variation in behavior where a hierarchy could have been formed consisting of these participating types. The participating types that were checked are: PreferencesURLContent; TemporaryURLContent in method putContent
sweethome3d-5.6,com.eteks.sweethome3d.io,FileUserPreferences,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 32 public methods
sweethome3d-5.6,com.eteks.sweethome3d.io,PreferencesURLContent,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): URLContent
sweethome3d-5.6,com.eteks.sweethome3d.io,HomeURLContent,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): URLContent
sweethome3d-5.6,com.eteks.sweethome3d.io,HomeXMLExporter,Unexploited Encapsulation,The tool detected the smell because a set of type checks are performed while those types belong to the same hierarchy. The participating types that were checked are: Level; Wall in method getId
sweethome3d-5.6,com.eteks.sweethome3d.io,HomeXMLExporter,Missing Hierarchy,The tool detected the smell because a set of type checks are performed to explicitly manage variation in behavior where a hierarchy could have been formed consisting of these participating types. The participating types that were checked are: Level; Wall in method getId
sweethome3d-5.6,com.eteks.sweethome3d.io,HomeXMLExporter,Insufficient Modularization,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 51 methods
sweethome3d-5.6,com.eteks.sweethome3d.io,PieceOfFurnitureExporter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sweethome3d-5.6,com.eteks.sweethome3d.io,PieceOfFurnitureExporter,Unexploited Encapsulation,The tool detected the smell because a set of type checks are performed while those types belong to the same hierarchy. The participating types that were checked are: HomeFurnitureGroup; HomeDoorOrWindow; HomeLight in method writeAttributes
sweethome3d-5.6,com.eteks.sweethome3d.io,PieceOfFurnitureExporter,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): ObjectXMLExporter
sweethome3d-5.6,com.eteks.sweethome3d.io,PieceOfFurnitureExporter,Missing Hierarchy,The tool detected the smell because a set of type checks are performed to explicitly manage variation in behavior where a hierarchy could have been formed consisting of these participating types. The participating types that were checked are: HomeFurnitureGroup; HomeDoorOrWindow; HomeLight in method writeAttributes
sweethome3d-5.6,com.eteks.sweethome3d.io,HomeXMLHandler,Unexploited Encapsulation,The tool detected the smell because a set of type checks are performed while those types belong to the same hierarchy. The participating types that were checked are: HomeFurnitureGroup; HomeLight; HomeDoorOrWindow in method setPieceOfFurnitureAttributes
sweethome3d-5.6,com.eteks.sweethome3d.io,HomeXMLHandler,Missing Hierarchy,The tool detected the smell because a set of type checks are performed to explicitly manage variation in behavior where a hierarchy could have been formed consisting of these participating types. The participating types that were checked are: HomeFurnitureGroup; HomeLight; HomeDoorOrWindow in method setPieceOfFurnitureAttributes
sweethome3d-5.6,com.eteks.sweethome3d.io,HomeXMLHandler,Insufficient Modularization,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 47 methods
sweethome3d-5.6,com.eteks.sweethome3d.j3d,DAELoader,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sweethome3d-5.6,com.eteks.sweethome3d.j3d,DAEHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sweethome3d-5.6,com.eteks.sweethome3d.j3d,DAEHandler,Insufficient Modularization,The tool detected the smell in this class because the class is highly complex. The sum of cyclomatic complexity of all methods of this class (i.e. WMC) is: 209
sweethome3d-5.6,com.eteks.sweethome3d.j3d,HomePieceOfFurniture3D,Unexploited Encapsulation,The tool detected the smell because a set of type checks are performed while those types belong to the same hierarchy. The participating types that were checked are: HomeLight; Light in method updatePieceOfFurnitureModelNode
sweethome3d-5.6,com.eteks.sweethome3d.j3d,HomePieceOfFurniture3D,Missing Hierarchy,The tool detected the smell because a set of type checks are performed to explicitly manage variation in behavior where a hierarchy could have been formed consisting of these participating types. The participating types that were checked are: HomeLight; Group in method createPieceOfFurnitureNode
sweethome3d-5.6,com.eteks.sweethome3d.j3d,HomePieceOfFurniture3D,Insufficient Modularization,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 34 methods
sweethome3d-5.6,com.eteks.sweethome3d.j3d,LightSelectionListener,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sweethome3d-5.6,com.eteks.sweethome3d.j3d,Label3D,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sweethome3d-5.6,com.eteks.sweethome3d.j3d,Max3DSLoader,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
