Class,Role Stereotype,Design Smells
com.eteks.sweethome3d.model.LengthUnit$InchDecimalsFormat,#N/A,Unutilized Abstraction; 
com.eteks.sweethome3d.model.LengthUnit$MeterFamilyFormat,Service Provider,Unutilized Abstraction; 
com.eteks.sweethome3d.model.LengthUnit$SquareMeterAreaFormatWithUnit,Service Provider,Unutilized Abstraction; 
com.eteks.sweethome3d.model.LengthUnit$SquareFootAreaFormatWithUnit,Service Provider,Unutilized Abstraction; 
com.eteks.sweethome3d.model.Level,Information Holder,Insufficient Modularization; 
com.eteks.sweethome3d.model.Level$Property,Information Holder,Unnecessary Abstraction; Unutilized Abstraction; 
com.eteks.sweethome3d.model.Light,Information Holder,Broken Hierarchy; 
com.eteks.sweethome3d.model.NotEnoughSpaceRecorderException,Information Holder,Unutilized Abstraction; Broken Hierarchy; 
com.eteks.sweethome3d.model.ObserverCamera$Property,Information Holder,Unnecessary Abstraction; Unutilized Abstraction; 
com.eteks.sweethome3d.model.PieceOfFurniture,Information Holder,Insufficient Modularization; 
com.eteks.sweethome3d.model.Polyline,Coordinator,Insufficient Modularization; 
com.eteks.sweethome3d.model.Polyline$Property,Information Holder,Unnecessary Abstraction; Unutilized Abstraction; 
com.eteks.sweethome3d.model.Polyline$CapStyle,Information Holder,Unnecessary Abstraction; 
com.eteks.sweethome3d.model.Polyline$JoinStyle,Information Holder,Unnecessary Abstraction; 
com.eteks.sweethome3d.model.Polyline$ArrowStyle,Information Holder,Unnecessary Abstraction; 
com.eteks.sweethome3d.model.Polyline$DashStyle,Information Holder,Unnecessary Abstraction; 
com.eteks.sweethome3d.model.Room,Information Holder,Insufficient Modularization; 
com.eteks.sweethome3d.model.Room$Property,Information Holder,Unnecessary Abstraction; Unutilized Abstraction; 
com.eteks.sweethome3d.model.UserPreferences,Information Holder,Deficient Encapsulation; Insufficient Modularization; 
com.eteks.sweethome3d.model.UserPreferences$Property,Information Holder,Unnecessary Abstraction; Unutilized Abstraction; 
com.eteks.sweethome3d.model.Wall,Information Holder,Insufficient Modularization; 
com.eteks.sweethome3d.model.Wall$Property,Information Holder,Unnecessary Abstraction; Unutilized Abstraction; 
com.eteks.sweethome3d.plugin.HomePluginController,Coordinator,Broken Hierarchy; 
com.eteks.sweethome3d.plugin.PluginAction$Property,Information Holder,Unnecessary Abstraction; 
com.eteks.sweethome3d.plugin.PluginManager,Structurer,Deficient Encapsulation; 
com.eteks.sweethome3d.plugin.PluginManager$PluginLibrary,Information Holder,Unutilized Abstraction; 
com.eteks.sweethome3d.swing.AutoCompleteTextField$AutoCompleteDocument,Service Provider,Unutilized Abstraction; 
com.eteks.sweethome3d.swing.BackgroundImageWizardStepsPanel,Interfacer,Feature Envy; Broken Hierarchy; Cyclically-dependent Modularization; Insufficient Modularization; 
com.eteks.sweethome3d.swing.BackgroundImageWizardStepsPanel$ScaleImagePreviewComponent,Interfacer,Broken Hierarchy; 
com.eteks.sweethome3d.swing.BackgroundImageWizardStepsPanel$ScaleImagePreviewComponent$ActionType,#N/A,Unnecessary Abstraction; 
com.eteks.sweethome3d.swing.BackgroundImageWizardStepsPanel$OriginImagePreviewComponent,Interfacer,Feature Envy; Broken Hierarchy; 
com.eteks.sweethome3d.swing.BaseboardChoiceComponent,Interfacer,Unutilized Abstraction; Broken Hierarchy; 
com.eteks.sweethome3d.swing.CatalogItemToolTip,Interfacer,Unexploited Encapsulation; Missing Hierarchy; 
com.eteks.sweethome3d.swing.CatalogItemToolTip$DisplayedInformation,Information Holder,Unnecessary Abstraction; 
com.eteks.sweethome3d.swing.ColorButton,Interfacer,Deficient Encapsulation; 
com.eteks.sweethome3d.swing.ColorButton$PalettesColorChooserPanel,Interfacer,Insufficient Modularization; 
com.eteks.sweethome3d.swing.ColorButton$ColorCode,Information Holder,Deficient Encapsulation; 
com.eteks.sweethome3d.swing.ColorButton$RecentColorsPanel,Interfacer,Deficient Encapsulation; 
com.eteks.sweethome3d.swing.CompassPanel,Interfacer,Unutilized Abstraction; Feature Envy; Insufficient Modularization; 
com.eteks.sweethome3d.swing.FileContentManager,Structurer,Rebellious Hierarchy; Insufficient Modularization; 
com.eteks.sweethome3d.swing.FontNameComboBox,Interfacer,Deficient Encapsulation; 
