file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\20215365\Documents\Research\Desktop\.\JetUML-3.1\src\ca\mcgill\cs\jetuml\application\RecentFilesQueue.java,ca.mcgill.cs.jetuml.application.RecentFilesQueue,class,1,3,2,1,18,1,0,19,0,0.41666666,1.0,1.0,6,0,6,0,0,0,6,0,0,0,2,1,0,2,0,0,2,0,0,55,6,2,3,0,0,3,11,7,1,7,2,0,0,0,99,1,0
C:\Users\20215365\Documents\Research\Desktop\.\JetUML-3.1\src\ca\mcgill\cs\jetuml\viewers\nodes\NoteNodeViewer.java,ca.mcgill.cs.jetuml.viewers.nodes.NoteNodeViewer,class,16,18,2,16,4,2,0,20,0,0.5,1.0,1.0,4,0,2,2,0,0,2,0,0,0,5,5,0,5,0,0,5,0,5,28,3,0,0,0,2,0,6,10,8,10,0,0,0,0,52,17,0
C:\Users\20215365\Documents\Research\Desktop\.\JetUML-3.1\src\ca\mcgill\cs\jetuml\viewers\nodes\PackageDescriptionNodeViewer.java,ca.mcgill.cs.jetuml.viewers.nodes.PackageDescriptionNodeViewer,class,13,16,3,13,3,3,0,18,0,0.0,1.0,1.0,3,0,2,0,1,0,3,0,0,0,1,1,0,1,0,0,1,0,3,22,2,0,0,0,3,1,2,8,8,7,0,0,0,0,51,17,0
C:\Users\20215365\Documents\Research\Desktop\.\JetUML-3.1\src\ca\mcgill\cs\jetuml\viewers\edges\AssociationEdgeViewer.java,ca.mcgill.cs.jetuml.viewers.edges.AssociationEdgeViewer,class,7,9,2,7,6,3,0,7,3,0.0,NaN,NaN,3,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,21,4,0,3,0,3,0,0,0,0,6,1,0,0,6,25,17,0
C:\Users\20215365\Documents\Research\Desktop\.\JetUML-3.1\src\ca\mcgill\cs\jetuml\diagram\builder\DiagramBuilder.java,ca.mcgill.cs.jetuml.diagram.builder.DiagramBuilder$Anonymous1,anonymous,2,2,0,2,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,6,-1,0
C:\Users\20215365\Documents\Research\Desktop\.\JetUML-3.1\src\ca\mcgill\cs\jetuml\diagram\builder\DiagramBuilder.java,ca.mcgill.cs.jetuml.diagram.builder.DiagramBuilder,class,24,33,9,24,71,1,5,73,59,0.7719298,0.3956044,0.3956044,19,1,9,5,5,0,14,1,6,0,3,1,0,2,1,0,2,0,10,246,17,9,21,0,2,0,2,42,9,40,3,2,0,21,202,1025,0
C:\Users\20215365\Documents\Research\Desktop\.\JetUML-3.1\src\ca\mcgill\cs\jetuml\viewers\edges\SegmentationStyle.java,ca.mcgill.cs.jetuml.viewers.edges.SegmentationStyle,interface,4,9,5,4,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,77,1,0
C:\Users\20215365\Documents\Research\Desktop\.\JetUML-3.1\src\org\json\JSONTokener.java,org.json.JSONTokener,class,5,9,4,5,64,1,0,20,71,0.75,0.102564104,0.12820514,15,1,13,2,0,0,13,0,0,0,8,0,0,8,0,0,1,0,2,210,18,4,8,2,2,13,23,32,8,17,4,0,0,0,170,1,0
C:\Users\20215365\Documents\Research\Desktop\.\JetUML-3.1\src\ca\mcgill\cs\jetuml\diagram\builder\DiagramBuilder.java,ca.mcgill.cs.jetuml.diagram.builder.DiagramBuilder$Anonymous2,anonymous,2,2,0,2,2,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,1,0,0,0,0,2,2,2,1,0,0,0,7,-1,0
C:\Users\20215365\Documents\Research\Desktop\.\JetUML-3.1\src\ca\mcgill\cs\jetuml\diagram\builder\constraints\StateDiagramEdgeConstraints.java,ca.mcgill.cs.jetuml.diagram.builder.constraints.StateDiagramEdgeConstraints,class,6,7,1,6,6,1,0,1,3,0.0,0.0,0.0,3,2,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,16,4,0,3,0,1,0,0,0,0,0,1,0,0,2,24,17,0
C:\Users\20215365\Documents\Research\Desktop\.\JetUML-3.1\src\ca\mcgill\cs\jetuml\diagram\Property.java,ca.mcgill.cs.jetuml.diagram.Property,class,0,5,5,0,9,1,0,2,2,0.6,0.4,1.0,5,0,5,0,0,0,5,0,0,0,4,0,0,4,0,0,4,0,0,26,3,0,4,0,0,0,0,4,0,4,0,0,0,0,55,1,0
C:\Users\20215365\Documents\Research\Desktop\.\JetUML-3.1\src\ca\mcgill\cs\jetuml\diagram\builder\DiagramOperation.java,ca.mcgill.cs.jetuml.diagram.builder.DiagramOperation,interface,0,7,7,0,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1,0
C:\Users\20215365\Documents\Research\Desktop\.\JetUML-3.1\src\ca\mcgill\cs\jetuml\viewers\edges\SegmentationStyleFactory.java,ca.mcgill.cs.jetuml.viewers.edges.SegmentationStyleFactory$VHV,innerclass,11,11,0,11,22,1,0,19,10,0.0,0.0,0.0,5,2,3,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,20,83,11,0,7,0,2,0,6,17,13,6,2,0,0,0,40,10,0
C:\Users\20215365\Documents\Research\Desktop\.\JetUML-3.1\src\ca\mcgill\cs\jetuml\application\Clipboard.java,ca.mcgill.cs.jetuml.application.Clipboard,class,6,8,2,6,40,1,0,39,55,0.7111111,0.5,0.5,15,2,4,11,0,0,4,0,0,0,3,1,0,3,0,0,1,0,3,126,16,10,6,0,2,0,1,13,0,13,3,0,0,0,134,17,0
C:\Users\20215365\Documents\Research\Desktop\.\JetUML-3.1\src\ca\mcgill\cs\jetuml\gui\tips\Media.java,ca.mcgill.cs.jetuml.gui.tips.Media,enum,0,3,3,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
C:\Users\20215365\Documents\Research\Desktop\.\JetUML-3.1\src\ca\mcgill\cs\jetuml\viewers\nodes\StateNodeViewer.java,ca.mcgill.cs.jetuml.viewers.nodes.StateNodeViewer,class,11,13,2,11,2,2,0,11,0,0.33333334,1.0,1.0,2,0,2,0,0,0,2,0,0,0,3,3,0,3,0,0,3,0,3,14,1,0,0,0,2,0,2,5,0,5,0,0,0,0,35,17,0
C:\Users\20215365\Documents\Research\Desktop\.\JetUML-3.1\src\ca\mcgill\cs\jetuml\views\ViewUtils.java,ca.mcgill.cs.jetuml.views.ViewUtils,class,8,19,11,8,17,1,0,23,22,0.75,0.14285715,0.14285715,8,7,7,1,0,0,7,0,0,0,2,2,0,2,0,0,2,0,1,59,0,0,6,0,0,0,28,7,22,7,1,0,0,0,124,17,0
C:\Users\20215365\Documents\Research\Desktop\.\JetUML-3.1\src\ca\mcgill\cs\jetuml\viewers\edges\AbstractEdgeViewer.java,ca.mcgill.cs.jetuml.viewers.edges.AbstractEdgeViewer,class,19,27,8,19,10,1,5,29,15,0.9,0.0,0.0,6,1,4,0,2,0,7,0,0,0,5,5,0,2,3,0,5,0,5,46,6,0,1,0,0,0,5,16,1,16,1,0,0,0,87,1025,0
C:\Users\20215365\Documents\Research\Desktop\.\JetUML-3.1\src\ca\mcgill\cs\jetuml\diagram\nodes\ActorNode.java,ca.mcgill.cs.jetuml.diagram.nodes.ActorNode,class,1,4,3,1,1,4,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,6,0,0,0,0,0,1,0,1,0,1,0,0,0,0,26,17,0
C:\Users\20215365\Documents\Research\Desktop\.\JetUML-3.1\src\ca\mcgill\cs\jetuml\viewers\edges\SegmentationStyleFactory.java,ca.mcgill.cs.jetuml.viewers.edges.SegmentationStyleFactory$Position,innerclass,1,1,0,1,6,1,0,2,0,0.3,0.8333333,1.0,5,0,1,1,0,3,4,0,0,0,2,0,0,2,0,0,0,0,0,25,4,0,0,0,5,1,5,5,11,4,1,0,0,0,40,10,0
C:\Users\20215365\Documents\Research\Desktop\.\JetUML-3.1\src\ca\mcgill\cs\jetuml\viewers\nodes\FieldNodeViewer.java,ca.mcgill.cs.jetuml.viewers.nodes.FieldNodeViewer,class,14,17,3,14,11,2,0,30,4,0.7125,0.47619048,1.0,8,0,7,1,0,0,7,0,0,0,10,10,0,10,0,0,10,0,6,72,9,0,2,0,10,2,18,29,28,28,1,0,0,0,75,17,0
C:\Users\20215365\Documents\Research\Desktop\.\JetUML-3.1\src\ca\mcgill\cs\jetuml\views\SequenceDiagramViewer.java,ca.mcgill.cs.jetuml.views.SequenceDiagramViewer,class,10,12,2,10,12,2,0,8,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,32,5,2,7,0,0,0,0,5,0,3,4,0,0,0,32,1,0
C:\Users\20215365\Documents\Research\Desktop\.\JetUML-3.1\src\ca\mcgill\cs\jetuml\application\MoveTracker.java,ca.mcgill.cs.jetuml.application.MoveTracker,class,6,7,1,6,10,1,0,12,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,2,34,1,3,5,0,0,0,4,9,2,7,2,0,0,0,66,1,0
C:\Users\20215365\Documents\Research\Desktop\.\JetUML-3.1\src\ca\mcgill\cs\jetuml\diagram\builder\constraints\Constraint.java,ca.mcgill.cs.jetuml.diagram.builder.constraints.Constraint,interface,0,6,6,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
C:\Users\20215365\Documents\Research\Desktop\.\JetUML-3.1\src\ca\mcgill\cs\jetuml\viewers\edges\NoteEdgeViewer.java,ca.mcgill.cs.jetuml.viewers.edges.NoteEdgeViewer,class,1,2,1,1,1,3,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,17,0
C:\Users\20215365\Documents\Research\Desktop\.\JetUML-3.1\src\ca\mcgill\cs\jetuml\diagram\edges\DependencyEdge.java,ca.mcgill.cs.jetuml.diagram.edges.DependencyEdge,class,4,10,6,4,4,4,0,4,0,0.0,1.0,1.0,3,0,2,0,1,0,3,0,0,0,1,0,0,1,0,0,0,0,1,15,1,0,1,0,0,1,0,3,0,2,0,0,1,2,43,17,0
