,file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,label,project
14036,Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/scribbles/VideoEditorHud.java,org.thoughtcrime.securesms.scribbles.VideoEditorHud$EventListener,interface,0,0,0,0,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,Interfacer,Signal-Android-4.60.5
14037,Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/reactions/ReactionEmojiCountAdapter.java,org.thoughtcrime.securesms.reactions.ReactionEmojiCountAdapter$ViewHolder,innerclass,9,9,0,9,4,2,0,11,0,0.0,1.0,1.0,2,0,0,0,0,2,2,0,0,0,3,0,0,3,0,0,3,0,2,24,0,0,1,0,0,0,0,3,0,4,1,0,0,1,20,24,0,Service Provider,Signal-Android-4.60.5
14038,Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/BindableConversationListItem.java,org.thoughtcrime.securesms.BindableConversationListItem,interface,4,4,0,4,1,1,0,0,0,0.0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,Service Provider,Signal-Android-4.60.5
14039,Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/util/DelimiterUtil.java,org.thoughtcrime.securesms.util.DelimiterUtil,class,0,1,1,0,5,1,0,4,3,0.0,0.0,0.0,3,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,17,4,0,2,0,0,6,2,1,6,1,1,0,0,0,9,1,0,Service Provider,Signal-Android-4.60.5
14040,Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/components/ImageDivet.java,org.thoughtcrime.securesms.components.ImageDivet,class,8,9,1,8,14,2,0,21,25,0.77922076,0.035714287,0.035714287,11,0,8,3,0,0,8,0,0,0,7,2,0,7,0,0,2,0,0,70,3,0,1,0,0,2,5,12,4,11,1,0,0,0,52,1,0,Information Holder,Signal-Android-4.60.5
14041,Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/jobmanager/impl/DefaultExecutorFactory.java,org.thoughtcrime.securesms.jobmanager.impl.DefaultExecutorFactory,class,2,3,1,2,1,1,0,1,0,0.0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,1,0,0,0,1,9,1,0,Service Provider,Signal-Android-4.60.5
14042,Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/conversation/ConversationItem.java,org.thoughtcrime.securesms.conversation.ConversationItem$StickerClickListener,innerclass,5,5,0,5,5,1,0,9,0,0.0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,1,0,0,0,0,0,1,0,0,0,18,2,0,Interfacer,Signal-Android-4.60.5
14043,Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/keyvalue/KeyValueDataSet.java,org.thoughtcrime.securesms.keyvalue.KeyValueDataSet,class,5,8,3,5,29,1,0,18,27,0.44444445,0.3897059,0.40441176,18,0,14,1,0,3,17,0,0,0,2,0,0,2,0,0,2,0,0,104,16,1,3,0,2,1,0,3,0,3,1,0,0,0,37,1,0,Service Provider,Signal-Android-4.60.5
14044,Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/database/JobDatabase.java,org.thoughtcrime.securesms.database.JobDatabase$Dependencies,innerclass,0,0,0,0,0,1,0,0,0,,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,5,5,0,5,0,0,5,0,0,7,0,0,0,0,0,11,0,5,1,5,0,0,0,0,20,26,0,Service Provider,Signal-Android-4.60.5
14045,Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/push/SignalServiceTrustStore.java,org.thoughtcrime.securesms.push.SignalServiceTrustStore,class,2,3,1,2,3,1,0,3,1,0.33333334,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,0,12,2,0,0,0,0,1,0,1,0,1,0,0,0,0,11,1,0,Information Holder,Signal-Android-4.60.5
14046,Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/util/views/LearnMoreTextView.java,org.thoughtcrime.securesms.util.views.LearnMoreTextView$Anonymous1,anonymous,4,4,0,4,3,1,0,6,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,1,0,0,0,0,0,0,0,1,0,0,0,16,-1,0,Interfacer,Signal-Android-4.60.5
14047,Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/jobs/ServiceOutageDetectionJob.java,org.thoughtcrime.securesms.jobs.ServiceOutageDetectionJob$Factory,innerclass,5,5,0,5,1,1,0,0,0,0.0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,25,0,Service Provider,Signal-Android-4.60.5
